prompt,theme,culture_region,document_id,reference_story,PromptId
Explain in story form why the baobab looks upside down.,origin_myth,east_africa,doc_ori_001,"The first baobab boasted that its roots could drink any star. The soil spirit grew tired of pride and planted the tree head-down so its branches learned humility underground. When travelers rest beneath its wide trunk, they remember: greatness must bow to the place that feeds it.",1
Tell a story showing generosity warms a communal pot.,moral_tale,east_africa,doc_mor_003,"A traveler asked for one ladle of stew and was refused by a stingy host. The communal pot in the next compound welcomed him, and steam rose at once. Villagers say generosity warms the stones beneath a meal; greed cools even a full hearth.",2
Tell an origin myth about a river learning to bend toward villages.,origin_myth,central_africa,doc_ori_002,"Long ago the river ran straight and forgot the villages along its banks. A grandmother walked beside it singing names of children who needed water. The river softened, curved toward each homestead, and the elders say listening shapes even the mightiest paths.",3
Medicine bark across three valleys — hero tale.,hero_journey,central_africa,doc_her_001,She braided grass ropes with strangers in a storm cave and healed many with shared courage.,4
Write a fable where elephant learns from fireflies in the forest.,animal_fable,central_africa,doc_ani_002,"Elephant demanded the forest paths be cleared for his steps alone. Fireflies convened, lit the narrow trails at dusk, and showed small creatures still needed shade. Elephant walked softer, leaving corridors of moss. Strength that listens keeps the forest speaking.",5
Storm broke the shared fence — community response.,community_wisdom,southern_africa,doc_com_001,Grandmother's circle fixed the fence by sunset and turned labor into hearth songs.,6
Well water only when names are spoken at dawn.,community_wisdom,west_africa,doc_com_002,Drawing together at dawn with children's names kept the well steady.,7
Why does the baobab stand like roots in the air?,origin_myth,east_africa,doc_ori_001,Prideful baobab was planted upside down to learn humility from the soil that feeds it.,8
Tell an animal fable about hyena and the moon's reflection.,animal_fable,east_africa,doc_ani_001,"Hyena saw the moon in a still pond and leapt to seize it, soaking his muzzle in mud. Owl hooted that some lights are for watching, not eating. Hyena laughed, washed, and guarded the pond so calves could drink by starlight. Knowing what you cannot catch is also a kind of feast.",9
Write a community tale about mending a shared fence after a storm.,community_wisdom,southern_africa,doc_com_001,"After a storm, each farmer waited for another to fix the shared fence. Grandmother called a circle; children carried posts while elders tied wire. By sunset cattle were safe and songs circled the fire. Work shared at the fence line becomes feast at the hearth.",10
Write a hero journey about fetching medicine bark across valleys.,hero_journey,central_africa,doc_her_001,"She crossed three valleys to fetch medicine bark for her teacher's fever. A storm blocked the ridge; she braided grass ropes with strangers sheltering in a cave. Together they reached the grove, and the bark healed many, not one. Courage, the teacher whispered, is a rope long enough for every hand.",11
Salt in a scarf across the harbor.,hero_journey,diaspora,doc_her_004,Small salt cured fish for a sick ward and won a sun stamp on feast days.,12
Write a tale of two brothers sharing one path to grazing lands.,moral_tale,southern_africa,doc_mor_002,Two brothers inherited one path to the grazing lands. The elder widened it for cattle; the younger planted shade trees for travelers. A drought came and only the shaded path held dew at dawn. They built a shared shelter and agreed: a road kept for others keeps the family walking.,13
Calabash of night spills stars — origin story.,origin_myth,southern_africa,doc_ori_004,Stars escaped a lifted lid yet weavers embroider their paths on cloth.,14
Tell a fable of cricket singing beside a sleeping lion.,animal_fable,west_africa,doc_ani_004,"Cricket sang beside a sleeping lion to prove courage is not size. Lion woke, listened, and asked Cricket to mark the hour of safe grazing. Birds followed the chirp at dawn ever after. A small voice on time saves many hooves.",15
Write a West African origin story about millet and planting songs.,origin_myth,west_africa,doc_ori_003,Millet seeds were shy and hid beneath stones until a farmer's daughter sang at dawn for seven mornings. The stones rolled aside and golden heads rose to the hymn. Planting songs still open the fields because patience and music wake what fear buries.,16
Monkey's dishonest honey guard.,trickster,central_africa,doc_tri_004,Bees marked the hive with a song only honest hands open after Monkey stole honey.,17
Stingy stew host vs welcoming compound.,moral_tale,east_africa,doc_mor_003,A welcomed traveler warmed the communal pot while greed cooled a stingy hearth.,18
Iroko bench for Friday tales in the diaspora.,community_wisdom,diaspora,doc_com_003,Children led Friday verses on a carved bench and homesickness became rhythm.,19
Write a diaspora tale about a storyteller's bench in a new city.,community_wisdom,diaspora,doc_com_003,"In a far city, elders carved a bench from a fallen iroko beam. Each Friday a child sat first to tell a tale from memory, then adults added verses. Homesickness softened into rhythm. Preservation is a bench long enough for young and old voices.",20
Tell a West African trickster tale about a shared cooking pot and trust.,trickster,west_africa,doc_tri_001,"When famine visited the village, the spider trickster proposed a shared cooking pot. Each family would contribute one grain, yet he stirred with a hollow ladle and ate the thickened stew alone. The elders watched, replaced the pot with two smaller ones, and said: cunning fills one belly while trust feeds the town. From that day, feasts began with open ladles and counted spoons.",21
Drummer thanks dust and rain returns.,hero_journey,west_africa,doc_her_002,Gratitude on the baobab drum brought gentle rain; elders beat it only in seasons of thanks.,22
Write a diaspora hero tale about carrying salt to cure fish.,hero_journey,diaspora,doc_her_004,She carried salt in her scarf across a harbor city to cure fish for elders who could not travel. Customs officers mocked the small bundle until the cured fish fed a sick ward. They stamped her scarf with a sun and let salt pass free on feast days. Small offerings crossed oceans become medicine.,23
Elephant vs firefly paths — fable.,animal_fable,central_africa,doc_ani_002,Fireflies showed Elephant to walk softer and leave moss corridors for small creatures.,24
Write a trickster story where tortoise tries to reach a river festival.,trickster,southern_africa,doc_tri_002,"Tortoise could not swim but wished to attend the river festival. He tied calabashes to his shell and floated downstream, singing as if the water obeyed him. Fish laughed, popped a calabash, and the current spun him gently to shore. The people helped him walk the last path, saying pride floats only until the water tells the truth.",25
Spider trickster and a village stew pot — folktale please.,trickster,west_africa,doc_tri_001,The spider trickster used a hollow ladle on a shared pot until elders split it into two open vessels and taught trust.,26
Boy blames goats — thorns grow.,moral_tale,central_africa,doc_mor_004,A lie sold goats and grew thorns until confession and shared replanting cleared the pen.,27
Hare pretends the sky chose him — write the tale.,trickster,east_africa,doc_tri_003,Hare borrowed thunder from a hollow log until Elephant exposed him and the drum returned to rain dances.,28
Tell a story about speaking children's names before drawing well water.,community_wisdom,west_africa,doc_com_002,A new well ran dry each time one family drew alone at night. The priestess asked every household to speak a child's name before drawing at dawn together. Water rose steady for seasons. Resources remember the voices that greet them in daylight.,29
Song that woke millet from under stones.,origin_myth,west_africa,doc_ori_003,Seven dawn songs rolled stones aside and millet rose because patience and music wake buried seeds.,30
Market cowrie and a girl's dream — moral story.,moral_tale,west_africa,doc_mor_001,Returning a lost cowrie led rice to a widow and market women praised honesty multiplying in another's pot.,31
Tell a fable about weaverbird and borrowed feathers.,animal_fable,southern_africa,doc_ani_003,"Weaverbird stitched bright feathers stolen from neighbors into a grand cloak. At the river mirror the borrowed colors fell away one by one. Ashamed, he wove a modest nest instead, and mates admired the pattern of his own work. Beauty borrowed at dawn unravels by noon.",32
Orphan net-mender becomes keeper of knots.,hero_journey,east_africa,doc_her_003,Practice by moonlight let her cast the chief's net in a squall and teach children folded sails.,33
