document_id,title,theme,culture_region,text,origin,source_url,license
doc_tri_001,The spider and the shared pot,trickster,west_africa,"When famine visited the village, the spider trickster proposed a shared cooking pot. Each family would contribute one grain, yet he stirred with a hollow ladle and ate the thickened stew alone. The elders watched, replaced the pot with two smaller ones, and said: cunning fills one belly while trust feeds the town. From that day, feasts began with open ladles and counted spoons.",synthetic,,CC0-1.0
doc_tri_002,Tortoise and the river festival,trickster,southern_africa,"Tortoise could not swim but wished to attend the river festival. He tied calabashes to his shell and floated downstream, singing as if the water obeyed him. Fish laughed, popped a calabash, and the current spun him gently to shore. The people helped him walk the last path, saying pride floats only until the water tells the truth.",synthetic,,CC0-1.0
doc_tri_003,Hare and the drum of thunder,trickster,east_africa,"Hare found a hollow log that echoed like thunder and claimed the sky had chosen him as messenger. He demanded honey from every homestead until Elephant tested the drum and heard Hare's small heart racing inside. The drum was returned to the grove for rain dances, and Hare carried messages on foot, no longer on borrowed thunder.",synthetic,,CC0-1.0
doc_ori_001,Why the baobab looks upside down,origin_myth,east_africa,"The first baobab boasted that its roots could drink any star. The soil spirit grew tired of pride and planted the tree head-down so its branches learned humility underground. When travelers rest beneath its wide trunk, they remember: greatness must bow to the place that feeds it.",synthetic,,CC0-1.0
doc_ori_002,How the river learned to bend,origin_myth,central_africa,"Long ago the river ran straight and forgot the villages along its banks. A grandmother walked beside it singing names of children who needed water. The river softened, curved toward each homestead, and the elders say listening shapes even the mightiest paths.",synthetic,,CC0-1.0
doc_ori_003,The first millet song,origin_myth,west_africa,Millet seeds were shy and hid beneath stones until a farmer's daughter sang at dawn for seven mornings. The stones rolled aside and golden heads rose to the hymn. Planting songs still open the fields because patience and music wake what fear buries.,synthetic,,CC0-1.0
doc_mor_001,The girl who returned the lost cowrie,moral_tale,west_africa,"A merchant dropped a cowrie shell in the market dust. A girl pocketed it, then dreamed of her mother's empty grain bowl that night. At sunrise she returned the shell; the merchant gifted a measure of rice to the widow next door. Honesty, the market women said, multiplies in another's cooking pot.",synthetic,,CC0-1.0
doc_mor_002,Two brothers and one path,moral_tale,southern_africa,Two brothers inherited one path to the grazing lands. The elder widened it for cattle; the younger planted shade trees for travelers. A drought came and only the shaded path held dew at dawn. They built a shared shelter and agreed: a road kept for others keeps the family walking.,synthetic,,CC0-1.0
doc_mor_003,The pot that would not boil for greed,moral_tale,east_africa,"A traveler asked for one ladle of stew and was refused by a stingy host. The communal pot in the next compound welcomed him, and steam rose at once. Villagers say generosity warms the stones beneath a meal; greed cools even a full hearth.",synthetic,,CC0-1.0
doc_her_001,Daughter of the copper hills,hero_journey,central_africa,"She crossed three valleys to fetch medicine bark for her teacher's fever. A storm blocked the ridge; she braided grass ropes with strangers sheltering in a cave. Together they reached the grove, and the bark healed many, not one. Courage, the teacher whispered, is a rope long enough for every hand.",synthetic,,CC0-1.0
doc_her_002,The drummer who carried rain,hero_journey,west_africa,"When clouds forgot the village, a young drummer climbed the baobab with a goatskin drum. He did not demand rain; he thanked the dust for teaching roots patience. Clouds gathered to hear the gratitude, and gentle rain followed. The elders beat the drum only in seasons of thanks, not complaint.",synthetic,,CC0-1.0
doc_her_003,Sail of the lake orphan,hero_journey,east_africa,"An orphan mended fishermen's nets without pay and learned each knot by moonlight. When a squall snapped the chief's line, she cast a net no one else could throw. The village made her keeper of knots, not chief, for skill serves better than title. She taught children that practice is a sail folded until the wind needs it.",synthetic,,CC0-1.0
doc_ani_001,Hyena and the moon's reflection,animal_fable,east_africa,"Hyena saw the moon in a still pond and leapt to seize it, soaking his muzzle in mud. Owl hooted that some lights are for watching, not eating. Hyena laughed, washed, and guarded the pond so calves could drink by starlight. Knowing what you cannot catch is also a kind of feast.",synthetic,,CC0-1.0
doc_ani_002,Elephant and the firefly council,animal_fable,central_africa,"Elephant demanded the forest paths be cleared for his steps alone. Fireflies convened, lit the narrow trails at dusk, and showed small creatures still needed shade. Elephant walked softer, leaving corridors of moss. Strength that listens keeps the forest speaking.",synthetic,,CC0-1.0
doc_ani_003,Weaverbird's borrowed feathers,animal_fable,southern_africa,"Weaverbird stitched bright feathers stolen from neighbors into a grand cloak. At the river mirror the borrowed colors fell away one by one. Ashamed, he wove a modest nest instead, and mates admired the pattern of his own work. Beauty borrowed at dawn unravels by noon.",synthetic,,CC0-1.0
doc_com_001,The circle that mended the fence,community_wisdom,southern_africa,"After a storm, each farmer waited for another to fix the shared fence. Grandmother called a circle; children carried posts while elders tied wire. By sunset cattle were safe and songs circled the fire. Work shared at the fence line becomes feast at the hearth.",synthetic,,CC0-1.0
doc_com_002,Names spoken before the well,community_wisdom,west_africa,A new well ran dry each time one family drew alone at night. The priestess asked every household to speak a child's name before drawing at dawn together. Water rose steady for seasons. Resources remember the voices that greet them in daylight.,synthetic,,CC0-1.0
doc_com_003,The storyteller's bench,community_wisdom,diaspora,"In a far city, elders carved a bench from a fallen iroko beam. Each Friday a child sat first to tell a tale from memory, then adults added verses. Homesickness softened into rhythm. Preservation is a bench long enough for young and old voices.",synthetic,,CC0-1.0
doc_tri_004,Monkey and the honey gate,trickster,central_africa,"Monkey promised to guard the hive while bees migrated, then sweetened his paws in secret. Bees returned, marked the tree with a song only honest hands may open, and Monkey went hungry. He later warned travelers: gifts guarded with lies become thorns. The hive still hums that tune at noon.",synthetic,,CC0-1.0
doc_ori_004,Stars scattered from a calabash,origin_myth,southern_africa,"A daughter carried night in a covered calabash for her weaving mother. Curious, she lifted the lid and stars spilled across the sky before she could catch them. The mother smiled: wonder escaped, yet cloth still shines by borrowed light. Weavers embroider star paths to remember careful hands.",synthetic,,CC0-1.0
doc_mor_004,The lie that grew thorns,moral_tale,central_africa,"A boy blamed goats for a broken gourd he had dropped. Goats were sold to pay a debt; thorn bushes overtook the idle pen. He confessed, replanted the pen with help, and tended it through a dry month. Truth clears ground lies leave to weeds.",synthetic,,CC0-1.0
doc_her_004,The salt bearer,hero_journey,diaspora,She carried salt in her scarf across a harbor city to cure fish for elders who could not travel. Customs officers mocked the small bundle until the cured fish fed a sick ward. They stamped her scarf with a sun and let salt pass free on feast days. Small offerings crossed oceans become medicine.,synthetic,,CC0-1.0
doc_ani_004,Cricket and the sleeping lion,animal_fable,west_africa,"Cricket sang beside a sleeping lion to prove courage is not size. Lion woke, listened, and asked Cricket to mark the hour of safe grazing. Birds followed the chirp at dawn ever after. A small voice on time saves many hooves.",synthetic,,CC0-1.0
doc_com_004,The drum that chose the dancer,community_wisdom,east_africa,"Villagers argued whose son would lead the harvest dance. The drum was placed open; the first barefoot child to match its heartbeat led the circle. No family owned the rhythm that day. Leadership followed listening, not shouting.",synthetic,,CC0-1.0
